"filename", "language", "JavaScript JSX", "XML", "Less", "JavaScript", "JSON", "comment", "blank", "total"
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\dynamicForm\index.jsx", "JavaScript JSX", 36, 0, 0, 0, 0, 0, 1, 37
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\dynamicForm\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\validateForm\index.jsx", "JavaScript JSX", 63, 0, 0, 0, 0, 0, 1, 64
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\validateForm\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\home\index.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 1, 7, 26
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\home\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\login\components\LoginForm.jsx", "JavaScript JSX", 90, 0, 0, 0, 0, 1, 1, 92
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\login\index.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 0, 1, 24
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\login\index.less", "Less", 0, 0, 87, 0, 0, 0, 1, 88
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\proTable\useComponent\index.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 1, 10
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\proTable\useComponent\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\proTable\useHooks\index.jsx", "JavaScript JSX", 79, 0, 0, 0, 0, 1, 1, 81
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\proTable\useHooks\index.less", "Less", 0, 0, 4, 0, 0, 0, 1, 5
"Total", "-", 3255, 48, 995, 895, 385, 439, 243, 6260
